domain,ipv4,ipv6,cname,status,checked_at
www.erb.org.zm,erb.org.zm.,erb.org.zm.,erb.org.zm,OK,2025-12-13T13:28:31+02:00
www.exams-council.org.zm,41.63.0.22,,,OK,2025-12-13T13:28:32+02:00
www.fic.gov.zm,fic.gov.zm.,fic.gov.zm.,fic.gov.zm,OK,2025-12-13T13:28:32+02:00
www.fra.org.zm,217.69.10.8,,,OK,2025-12-13T13:28:33+02:00
www.gncz.org.zm,,,,NXDOMAIN,2025-12-13T13:28:34+02:00
www.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:34+02:00
www.hea.org.zm,41.63.0.22,,,OK,2025-12-13T13:28:35+02:00
www.hpcz.org.zm,185.230.63.107,,,OK,2025-12-13T13:28:36+02:00
www.hrc.org.zm,hrc.org.zm.,hrc.org.zm.,hrc.org.zm,OK,2025-12-13T13:28:36+02:00
www.idc.co.zm,,,,NXDOMAIN,2025-12-13T13:28:37+02:00
www.indeni.com.zm,indeni.com.zm.,indeni.com.zm.,indeni.com.zm,OK,2025-12-13T13:28:37+02:00
www.izb.co.zm,izb.azurewebsites.net.,izb.azurewebsites.net.,izb.azurewebsites.net,OK,2025-12-13T13:28:37+02:00
www.kmu.ac.zm,41.63.0.22,,,OK,2025-12-13T13:28:38+02:00
www.knu.ac.zm,,,,NXDOMAIN,2025-12-13T13:28:39+02:00
www.lands.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:40+02:00
www.laz.org.zm,laz.org.zm.,laz.org.zm.,laz.org.zm,OK,2025-12-13T13:28:40+02:00
www.lcc.gov.zm,217.69.10.8,,,OK,2025-12-13T13:28:41+02:00
www.lgazambia.org.zm,cdn.webflow.com.,cdn.webflow.com.,cdn.webflow.com,OK,2025-12-13T13:28:42+02:00
www.lmmu.ac.zm,155.0.48.6,,,OK,2025-12-13T13:28:42+02:00
www.lsk.gov.zm,41.215.183.58,,,OK,2025-12-13T13:28:43+02:00
www.lua.gov.zm,41.215.183.58,,,OK,2025-12-13T13:28:44+02:00
www.luse.co.zm,172.66.172.180,2606:4700:10::6814:2957,,OK,2025-12-13T13:28:44+02:00
www.lwsc.com.zm,64.23.155.64,,,OK,2025-12-13T13:28:45+02:00
www.mcdss.gov.zm,41.215.183.55,,,OK,2025-12-13T13:28:46+02:00
www.mcz.org.zm,,,,NXDOMAIN,2025-12-13T13:28:47+02:00
www.mfl.gov.zm,41.215.183.59,,,OK,2025-12-13T13:28:48+02:00
www.mgee.gov.zm,41.215.183.56,,,OK,2025-12-13T13:28:48+02:00
